period,city,買賣_棟數,買賣_坪數,拍賣_棟數,拍賣_坪數,繼承_棟數,繼承_坪數,贈與_棟數,贈與_坪數
101Q1,苗栗縣,781,40613.56,31,1038.93,209,10421.2,196,9439.380000000001
101Q1,連江縣,0,0.0,0,0.0,0,0.0,0,0.0
101Q1,金門縣,45,1345.49,0,0.0,29,2073.04,14,553.64
101Q1,雲林縣,785,41274.18,72,3466.08,216,10030.9,134,6396.7
101Q1,高雄市,7499,291566.01,435,19648.75,1198,43077.62,1174,45331.73
101Q2,區域別總計,94148,3174704.18,2548,133466.06,10895,396343.07,11047,359696.91
101Q2,南投縣,745,33249.13,74,2225.04,191,10058.86,184,7887.24
101Q2,嘉義市,960,39725.75,26,1281.3,161,5294.06,135,4979.95
101Q2,嘉義縣,735,30495.27,50,9018.74,146,6252.96,139,11822.570000000002
101Q2,基隆市,1735,43374.73,88,19653.18,278,7051.16,248,5516.92
101Q2,宜蘭縣,2151,74145.62,48,2422.15,230,8206.85,187,8053.65
101Q2,屏東縣,1434,61082.69,126,4227.85,292,12195.15,316,12802.47
101Q2,彰化縣,1872,96777.32,77,3920.66,359,18043.39,295,13507.27
101Q2,新北市,19679,561128.03,217,5033.61,1873,53534.82,2486,63021.34
101Q2,新竹市,3529,107026.41,23,961.97,300,10546.24,346,9303.900000000001
101Q2,新竹縣,2897,85043.84,35,1076.72,180,9899.63,193,8390.279999999999
101Q2,桃園市,12967,417067.37,353,16746.89,877,33606.57,961,33433.61
101Q2,澎湖縣,101,4443.27,4,112.51,112,2703.46,50,1680.97
101Q2,臺中市,13057,482614.47,478,13473.13,1186,55167.91,1254,45759.82
101Q2,臺北市,10834,281171.32,96,2726.19,1861,53425.28,1954,48427.44
101Q2,臺南市,5546,231456.69,242,31085.31,769,29514.47,654,24720.05
101Q2,臺東縣,487,18540.68,34,587.65,99,4483.52,78,3006.5899999999997
101Q2,花蓮縣,1063,45064.55,45,1408.35,162,6863.67,151,5813.83
101Q2,苗栗縣,1371,62146.77,40,1828.53,233,10892.13,186,7574.21
101Q2,連江縣,0,0.0,0,0.0,0,0.0,0,0.0
101Q2,金門縣,71,2672.8,1,63.24,28,1525.11,22,1039.1299999999999
