資料期別,縣市,本季購置住宅貸款違約率(%),download_timestamp,process_timestamp
099Q4,彰化縣,0.81,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
099Q4,澎湖縣,0.45,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q1,全國,0.42,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q1,台中市,0.35,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q1,台北市,0.12,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q1,台東縣,1.62,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q1,台南市,0.57,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q1,宜蘭縣,0.56,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q1,花蓮縣,0.62,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q1,金門縣,0.57,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q1,南投縣,1.66,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q1,屏東縣,1.09,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q1,苗栗縣,1.21,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q1,桃園市,0.86,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q1,高雄市,0.66,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q1,基隆市,1.33,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q1,連江縣,0.0,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q1,雲林縣,1.04,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q1,新北市,0.22,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q1,新竹市,0.52,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q1,新竹縣,0.52,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q1,嘉義市,0.48,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q1,嘉義縣,1.04,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q1,彰化縣,0.81,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q1,澎湖縣,0.38,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q2,全國,0.36,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q2,台中市,0.29,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q2,台北市,0.11,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q2,台東縣,1.55,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q2,台南市,0.44,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q2,宜蘭縣,0.51,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q2,花蓮縣,0.58,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q2,金門縣,0.48,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q2,南投縣,1.57,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q2,屏東縣,0.95,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q2,苗栗縣,1.12,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q2,桃園市,0.72,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q2,高雄市,0.56,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q2,基隆市,1.09,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q2,連江縣,0.0,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q2,雲林縣,0.89,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q2,新北市,0.18,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q2,新竹市,0.43,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q2,新竹縣,0.42,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q2,嘉義市,0.44,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q2,嘉義縣,0.94,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q2,彰化縣,0.63,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q2,澎湖縣,0.41,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q3,全國,0.33,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q3,台中市,0.27,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q3,台北市,0.09,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q3,台東縣,1.34,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q3,台南市,0.4,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q3,宜蘭縣,0.45,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q3,花蓮縣,0.49,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q3,金門縣,0.48,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q3,南投縣,1.49,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q3,屏東縣,0.89,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q3,苗栗縣,1.07,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q3,桃園市,0.65,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q3,高雄市,0.53,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q3,基隆市,1.03,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q3,連江縣,0.0,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q3,雲林縣,0.86,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q3,新北市,0.17,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q3,新竹市,0.36,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q3,新竹縣,0.39,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q3,嘉義市,0.44,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q3,嘉義縣,0.92,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q3,彰化縣,0.71,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q3,澎湖縣,0.27,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q4,全國,0.31,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q4,台中市,0.27,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q4,台北市,0.08,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q4,台東縣,1.45,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q4,台南市,0.39,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q4,宜蘭縣,0.36,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q4,花蓮縣,0.4,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q4,金門縣,0.45,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q4,南投縣,1.51,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q4,屏東縣,0.83,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q4,苗栗縣,1.02,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q4,桃園市,0.58,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q4,高雄市,0.47,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q4,基隆市,1.08,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q4,連江縣,0.0,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q4,雲林縣,0.91,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q4,新北市,0.14,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q4,新竹市,0.34,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q4,新竹縣,0.39,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
100Q4,嘉義市,0.39,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
