資料期別,縣市,建物買賣移轉登記棟數
109Q2,嘉義市,810.0
109Q2,嘉義縣,603.0
109Q2,彰化縣,1642.0
109Q2,澎湖縣,72.0
109Q3,全國,91633.0
109Q3,台中市,13062.0
109Q3,台北市,8502.0
109Q3,台東縣,419.0
109Q3,台南市,6359.0
109Q3,宜蘭縣,1630.0
109Q3,花蓮縣,972.0
109Q3,金門縣,136.0
109Q3,南投縣,750.0
109Q3,屏東縣,1574.0
109Q3,苗栗縣,2151.0
109Q3,桃園市,13182.0
109Q3,高雄市,10358.0
109Q3,基隆市,1586.0
109Q3,連江縣,0.0
109Q3,雲林縣,1328.0
109Q3,新北市,18167.0
109Q3,新竹市,3983.0
109Q3,新竹縣,3430.0
109Q3,嘉義市,900.0
109Q3,嘉義縣,826.0
109Q3,彰化縣,2238.0
109Q3,澎湖縣,80.0
109Q4,全國,94578.0
109Q4,台中市,15441.0
109Q4,台北市,9222.0
109Q4,台東縣,528.0
109Q4,台南市,6181.0
109Q4,宜蘭縣,1503.0
109Q4,花蓮縣,934.0
109Q4,金門縣,197.0
109Q4,南投縣,745.0
109Q4,屏東縣,1649.0
109Q4,苗栗縣,1961.0
109Q4,桃園市,12505.0
109Q4,高雄市,11241.0
109Q4,基隆市,1729.0
109Q4,連江縣,8.0
109Q4,雲林縣,1290.0
109Q4,新北市,18004.0
109Q4,新竹市,4472.0
109Q4,新竹縣,3135.0
109Q4,嘉義市,895.0
109Q4,嘉義縣,961.0
109Q4,彰化縣,1862.0
109Q4,澎湖縣,115.0
110Q1,全國,80831.0
110Q1,台中市,12630.0
